社区,节点数,连接数
1,321,323
2,197,196
3,356,356
4,173,177
5,227,238
6,159,160
7,569,1914
8,262,265
9,154,156
10,579,820
11,241,245
12,6,6
13,173,253
14,160,210
15,128,129
16,182,187
17,272,342
18,151,152
19,236,252
20,372,405
21,294,293
