,source_name,target_name,source_cmt,target_cmt
2701,TCF7L2,JUN,7,7
2702,SMAD3,JUN,7,7
2703,TP53,JUN,7,7
2704,VIM,JUN,7,7
2705,MIR92A2,JUN,10,7
2706,FOSL1,JUN,7,7
2707,SESN2,JUN,4,7
2708,APP,JUN,7,7
2709,PLAT,JUN,7,7
2710,FTH1,JUN,7,7
2711,PLA2G4A,JUN,7,7
2712,ITGA5,JUN,7,7
2713,BCL2A1,JUN,7,7
2714,TNFRSF1B,JUN,7,7
2715,ITGB8,JUN,7,7
2716,GADD45B,JUN,7,7
2717,FAS,JUN,7,7
2718,NQO1,JUN,7,7
2719,XRCC5,JUN,7,7
2720,SMAD4,JUN,7,7
2721,CD44,JUN,7,7
2722,TFAP2A,JUN,7,7
2723,VDR,JUN,7,7
2724,BRCA1,JUN,7,7
2725,JUND,JUN,7,7
2726,JUN,JUN,7,7
2727,MMP2,JUNB,7,7
2728,AXL,JUNB,7,7
2729,NQO1,JUNB,7,7
2730,FOSL1,JUNB,7,7
2731,IGFBP4,JUNB,7,7
2732,TGFB1,JUNB,7,7
2733,HMOX1,JUNB,7,7
2734,DNAJB4,JUNB,7,7
2735,MMP1,JUNB,7,7
2736,ITGB8,JUNB,7,7
2737,VDR,JUNB,7,7
2738,SERPINA3,JUND,7,7
2739,IGFBP4,JUND,7,7
2740,VEGFA,JUND,7,7
2741,ITGA5,JUND,7,7
2742,NQO1,JUND,7,7
2743,AXL,JUND,7,7
2744,POLA1,JUND,7,7
2745,TP53,JUND,7,7
2746,GCLC,JUND,7,7
2747,ITGB8,JUND,7,7
2748,DNAJB4,JUND,7,7
2749,ST8SIA1,JUND,7,7
2750,SLC6A6,JUND,7,7
2751,FOSL1,JUND,7,7
2752,PTGS2,JUND,7,7
2753,MYLK,JUND,7,7
2754,HMOX1,JUND,7,7
2755,TGFBR2,JUND,7,7
2756,ALDOA,JUND,7,7
2757,TREX1,JUND,7,7
2758,SMAD7,JUND,7,7
2759,BAK1,JUND,7,7
2760,TGFB1,JUND,7,7
2761,MMP1,JUND,7,7
2762,MMP3,JUND,7,7
2763,TIMP1,JUND,7,7
2764,HMBS,JUND,10,7
2765,MIR92A2,KANK2,10,3
2766,MIR193B,KANK2,3,3
2767,MIR148A,KANSL1,16,16
2768,MIR149,KANSL1,21,16
2769,MIR92A2,KANSL3,10,17
2770,MIR181A1,KAT2B,5,10
2771,MIR92A2,KAT2B,10,10
2772,HOXA10,KAT2B,17,10
2773,MIR25,KAT2B,10,10
2774,MIR181A1,KAT5,5,5
2775,MIR205,KATNAL1,14,14
2776,SP1,KCTD10,7,13
2777,MIR29B2,KCTD10,13,13
2778,MIR193B,KCTD10,3,13
2779,MIR214,KCTD15,6,13
2780,MIR29A,KCTD15,13,13
2781,MIR146A,KCTD15,19,13
2782,MIR29B2,KCTD15,13,13
2783,MIR205,KCTD2,14,14
2784,MIR149,KCTD2,21,14
2785,MIR205,KCTD20,14,14
2786,MIR149,KCTD20,21,14
2787,MIR92A2,KCTD7,10,10
2788,MIR155,KDELC1,1,1
2789,MIR101-2,KDM3B,19,19
2790,VEGFA,KDM5A,7,5
2791,MIR182,KDM5A,5,5
2792,MIR101-2,KDM6B,19,19
2793,MIR92A2,KDM6B,10,19
2794,MIR92A2,KDSR,10,14
2795,MIR205,KDSR,14,14
2796,MIR149,KHNYN,21,21
2797,MIR149,KHSRP,21,16
2798,MIR193B,KIAA0101,3,5
2799,NFKB1,KIAA0101,7,5
2800,MIR149,KIAA0101,21,5
2801,MIR181A1,KIAA0101,5,5
2802,MIR181A1,KIAA0196,5,8
2803,MIR34A,KIAA0196,8,8
2804,MIR214,KIAA0226,6,6
2805,MIR92A2,KIAA0556,10,10
2806,MIRLET7B,KIAA0930,20,20
2807,MIR9-3,KIAA1468,9,9
2808,MIR92A2,KIAA1468,10,9
2809,MIR92A2,KIAA1586,10,10
2810,MIR101-2,KIAA1586,19,10
2811,MIR29B2,KIAA1586,13,10
2812,MIRLET7B,KIAA1715,20,8
2813,MIR21,KIAA1715,11,8
2814,MIR34A,KIAA1715,8,8
2815,MIRLET7B,KIDINS220,20,20
2816,MIR203A,KIF13A,18,18
2817,SP1,KIF14,7,7
2818,YY1,KIF14,7,7
2819,HSF1,KIF14,7,7
2820,MIR193B,KIF15,3,3
2821,MIR92A2,KIF18B,10,10
2822,MIR214,KIF1B,6,9
2823,MIR29B2,KIF1C,13,6
2824,MIR9-3,KIF1C,9,6
2825,MIR203A,KIF1C,18,6
2826,MIR149,KIF1C,21,6
2827,MIR214,KIF1C,6,6
2828,MIR149,KIF22,21,19
2829,MIR101-2,KIF2C,19,16
2830,MIR92A2,KIF2C,10,16
2831,MIR34A,KIF2C,8,16
2832,MIR148A,KIF2C,16,16
2833,MIR34A,KIF5B,8,10
2834,MIR203A,KIF5B,18,10
2835,MIR25,KIF5B,10,10
2836,MIR92A2,KIF5B,10,10
2837,MIR21,KIFAP3,11,11
2838,MIR92A2,KIFC1,10,15
2839,MIR149,KIT,21,7
2840,SNAI1,KIT,7,7
2841,MIR92A2,KLC2,10,10
2842,MIR200B,KLF10,19,2
2843,MIRLET7B,KLF10,20,2
2844,MIR30D,KLF10,2,2
2845,MIR31,KLF13,4,4
2846,MIR148A,KLF13,16,4
2847,MIR214,KLF16,6,6
2848,MIR9-3,KLF6,9,9
2849,MIR148A,KLF6,16,9
2850,ATF3,KLF6,7,9
2851,MIR101-2,KLF6,19,9
2852,MIR25,KLHDC10,10,10
2853,MIR30D,KLHDC10,2,10
2854,MIR92A2,KLHDC10,10,10
2855,MIRLET7B,KLHDC8B,20,20
2856,MIR92A2,KLHL18,10,10
2857,MIR193B,KLHL22,3,3
2858,MIR92A2,KLHL42,10,5
2859,MIR205,KLHL5,14,14
2860,MIR222,KNSTRN,17,17
2861,MIR149,KNTC1,21,21
2862,MIR92A2,KPNA2,10,17
2863,MIR101-2,KPNA2,19,17
2864,MIR92A2,KPNA3,10,10
2865,MIR222,KPNA6,17,17
2866,MIR92A2,KPNA6,10,17
2867,MIRLET7B,KPNA6,20,17
2868,MIR3916,KPNA6,20,17
2869,MIR149,KPNB1,21,2
2870,MIR92A2,KPNB1,10,2
2871,MIR92A2,KPTN,10,10
2872,MIR181A1,KRAS,5,15
2873,MIR200B,KRAS,19,15
2874,MIR193B,KRAS,3,15
2875,MIR3916,KRAS,20,15
2876,MIR206,KRAS,15,15
2877,MIR30D,KRAS,2,15
2878,MIR155,KRAS,1,15
2879,MIR181A1,KRBOX4,5,5
2880,MIR149,KREMEN1,21,2
2881,MIR149,KRT8,21,21
2882,MIRLET7B,KXD1,20,3
2883,MIR193B,KXD1,3,3
2884,MIR146A,L1CAM,19,13
2885,MIR101-2,L2HGDH,19,1
2886,MIR214,LAMA4,6,6
2887,MIR205,LAMC1,14,14
2888,MIR92A2,LAMP2,10,11
2889,MIR31,LAPTM4A,4,4
2890,MIR181A1,LAPTM4B,5,5
2891,CREB1,LAPTM4B,7,5
2892,MIR92A2,LARS,10,11
2893,MIR193B,LARS,3,11
2894,TP53,LASP1,7,18
2895,MIR31,LATS2,4,4
2896,MIR182,LBR,5,5
2897,MIR101-2,LBR,19,5
2898,MIR146A,LBR,19,5
2899,MIR148A,LBR,16,5
2900,MIR203A,LCLAT1,18,18
2901,MIR205,LCOR,14,10
2902,MIR92A2,LCOR,10,10
2903,MIR25,LCOR,10,10
2904,MIR203A,LCOR,18,10
2905,MIR101-2,LCOR,19,10
2906,MIR214,LDB1,6,6
2907,MIR203A,LDHA,18,18
2908,FOXM1,LDHA,7,18
2909,ESRRA,LDHB,17,17
2910,MIR181A1,LDLR,5,7
2911,MIR149,LDLR,21,7
2912,JUN,LDLR,7,7
2913,CEBPB,LDLR,7,7
2914,SREBF2,LDLR,7,7
2915,HNRNPK,LDLR,7,7
2916,MIR92A2,LDLR,10,7
2917,MIRLET7B,LDLR,20,7
2918,EGR1,LDLR,7,7
2919,SP1,LDLR,7,7
2920,MIR29B2,LDOC1L,13,13
2921,MIR29A,LDOC1L,13,13
2922,MYC,LEF1,7,7
2923,CYLD,LEF1,7,7
2924,MITF,LEF1,7,7
2925,CCND1,LEF1,7,7
2926,ADA,LEF1,7,7
2927,NT5E,LEF1,7,7
2928,NLK,LEF1,19,7
2929,SP1,LEF1,7,7
2930,PSMD10,LEF1,7,7
2931,DCT,LEF1,7,7
2932,LEF1,LEF1,7,7
2933,MIR149,LEPROTL1,21,21
2934,MIR92A2,LETM1,10,10
2935,HIF1A,LGALS1,7,7
2936,MYC,LGALS1,7,7
2937,MIR181A1,LGALSL,5,5
2938,MIR199A2,LIF,16,16
2939,MIR149,LIG1,21,21
2940,MIR149,LIG3,21,21
2941,MIR137,LIMCH1,10,11
2942,MIR92A2,LIMD1,10,10
2943,MIR146A,LIMD2,19,19
2944,LIMK1,LIMK1,14,14
2945,CFL2,LIMK1,14,14
2946,MIR29B2,LIMS1,13,13
2947,MIR29A,LIMS1,13,13
2948,MIR193B,LIN37,3,3
2949,MIR101-2,LIN7C,19,6
2950,MIR214,LIN7C,6,6
2951,MIR25,LIX1L,10,10
2952,MIR149,LLGL1,21,21
2953,MIR92A2,LMBR1L,10,2
2954,MIR193B,LMCD1,3,3
2955,MIR9-3,LMNA,9,9
2956,MIR101-2,LMNB1,19,19
2957,MIR92A2,LMNB2,10,17
2958,MYC,LMNB2,7,17
2959,MIR193B,LMNB2,3,17
2960,HOXC10,LMNB2,17,17
2961,MIR205,LOH12CR1,14,14
2962,MIR155,LONP2,1,1
2963,MIR193B,LONP2,3,1
2964,TBP,LOXL4,7,7
2965,MIR205,LPCAT1,14,14
2966,MIR9-3,LPXN,9,9
2967,NRF1,LRP1,11,7
2968,HIF1A,LRP1,7,7
2969,MIR9-3,LRP1,9,7
2970,MIR205,LRP1,14,7
2971,SP1,LRP5,7,7
2972,MIR221,LRP6,17,17
2973,MIR92A2,LRP6,10,17
2974,MIR193B,LRR1,3,3
2975,MIR149,LRRC16A,21,21
2976,MIRLET7B,LRRC20,20,21
2977,MIR149,LRRC20,21,21
2978,MIR193B,LRRC40,3,8
2979,MIR34A,LRRC40,8,8
2980,MIRLET7B,LRRC40,20,8
2981,MIRLET7B,LRRC41,20,21
2982,MIR149,LRRC41,21,21
2983,MIR149,LRRC42,21,21
2984,MIR149,LRRC47,21,15
2985,MIRLET7B,LRRC47,20,15
2986,MIR31,LRRC59,4,15
2987,MIR205,LRRC59,14,15
2988,MIR149,LRRC8A,21,21
2989,MIR30D,LRRC8D,2,2
2990,MIR181A1,LRRC8D,5,2
2991,MIR34A,LRRFIP1,8,8
2992,MIR21,LRRFIP1,11,8
2993,MIR149,LRRFIP1,21,8
2994,MIR29B2,LSAMP,13,13
2995,MIR149,LSG1,21,21
2996,MIR155,LSM3,1,1
2997,MIR146A,LSM4,19,19
2998,MIR92A2,LSM7,10,10
2999,SP1,LTBP3,7,21
3000,MIR149,LTBP3,21,21
3001,MIR101-2,LTN1,19,19
3002,MIR214,LUZP1,6,6
3003,MIR205,LYN,14,17
3004,POU2F1,LYN,7,17
3005,ELF1,LYN,17,17
3006,MIR181A1,LYSMD3,5,14
3007,MIR101-2,LYSMD3,19,14
3008,MIR205,LYSMD3,14,14
3009,MIR182,LZIC,5,5
3010,MIR101-2,LZIC,19,5
3011,MIR214,LZTS1,6,6
3012,NFKB1,LZTS2,7,7
3013,RELA,LZTS2,7,7
3014,MIR149,M6PR,21,6
3015,MIR214,M6PR,6,6
3016,MIR92A2,MACF1,10,2
3017,MIR222,MACF1,17,2
3018,MIR30D,MACF1,2,2
3019,MIR149,MAD1L1,21,21
3020,GCLC,MAFG,7,7
3021,MAT2A,MAFG,7,7
3022,MBD1,MAGEA12,8,8
3023,MIR34A,MAGEA2,8,8
3024,MIR9-3,MAGEA2B,9,8
3025,MBD1,MAGEA2B,8,8
3026,MBD1,MAGEA3,8,8
3027,MIR148A,MAGEF1,16,16
3028,MIR9-3,MALAT1,9,9
3029,MIR182,MALT1,5,11
3030,MIR92A2,MAML1,10,2
3031,MIR149,MAN2A1,21,21
3032,MIR92A2,MAP1B,10,10
3033,MIR9-3,MAP1B,9,10
3034,MIR101-2,MAP2K1,19,8
3035,MAP2K2,MAP2K2,14,14
3036,MIR214,MAP2K3,6,6
3037,MAPK8IP1,MAP2K4,13,10
3038,MAP2K4,MAP2K4,10,10
3039,MIR214,MAP2K5,6,6
3040,STAT3,MAP2K5,7,6
3041,MAPK8IP1,MAP2K7,13,20
3042,MAP3K1,MAP2K7,14,20
3043,MIR3916,MAP2K7,20,20
3044,MAP2K7,MAP2K7,20,20
3045,MAP3K1,MAP3K1,14,14
3046,MAP2K4,MAP3K1,10,14
3047,MIR203A,MAP3K13,18,18
3048,MIR31,MAP3K14,4,4
3049,MAPK14,MAP3K3,14,5
3050,MAP3K3,MAP3K3,5,5
3051,MIR9-3,MAP3K3,9,5
3052,MIR182,MAP3K3,5,5
3053,MIR148A,MAP3K4,16,16
3054,MIR92A2,MAP3K4,10,16
3055,MIR101-2,MAP3K4,19,16
3056,MAP3K6,MAP3K6,14,14
3057,MIRLET7B,MAP4,20,8
3058,MIR92A2,MAP4,10,8
3059,MIR34A,MAP4,8,8
3060,MIR193B,MAP4K2,3,3
3061,MIR31,MAP4K4,4,4
3062,MIR193B,MAP7D3,3,3
3063,MIR214,MAPK1,6,4
3064,MAPKAPK2,MAPK14,14,14
3065,MIR214,MAPK14,6,14
3066,RAC1,MAPK14,14,14
3067,MAP3K6,MAPK14,14,14
3068,MIR205,MAPK14,14,14
3069,MAPK14,MAPK14,14,14
3070,MIR149,MAPK1IP1L,21,5
3071,MIR92A2,MAPK1IP1L,10,5
3072,SPRY1,MAPK3,7,7
3073,MYC,MAPK3,7,7
3074,DUSP7,MAPK3,21,7
3075,MITF,MAPK3,7,7
3076,SNAI1,MAPK3,7,7
3077,CCND1,MAPK3,7,7
3078,VIM,MAPK3,7,7
3079,DUSP7,MAPK3,21,7
3080,MAP2K2,MAPK3,14,7
3081,MAPK3,MAPK3,7,7
3082,BRAF,MAPK3,14,7
3083,JUN,MAPK3,7,7
3084,RPS6KA3,MAPK3,9,7
3085,MAP2K2,MAPK3,14,7
3086,MIR29A,MAPK6,13,13
3087,MIR214,MAPK8,6,6
3088,MIR92A2,MAPK8,10,6
3089,MIR203A,MAPK8,18,6
3090,MAPK8IP1,MAPK8IP1,13,13
3091,MIR203A,MAPK9,18,18
3092,MIR92A2,MAPK9,10,18
3093,MAPKAPK2,MAPKAPK2,14,14
3094,MIR29A,MAPKBP1,13,13
3095,MIR29B2,MAPKBP1,13,13
3096,MIR92A2,MAPRE1,10,10
3097,MIR25,6-Mar,10,2
3098,MIR29A,6-Mar,13,2
3099,MIR92A2,9-Mar,10,10
3100,MARCKS,MARCKS,14,14
3101,MIR205,MARCKS,14,14
3102,MIR149,MARCKSL1,21,2
3103,MIR149,MARK2,21,21
3104,MIR149,MARS2,21,21
3105,MIRLET7B,MARS2,20,21
3106,ETV4,MAT2A,7,7
3107,MIR149,MAT2A,21,7
3108,MIR193B,MAT2A,3,7
3109,RELA,MAT2A,7,7
3110,CREB1,MAT2A,7,7
3111,E2F1,MAT2A,7,7
3112,JUN,MAT2A,7,7
3113,YY1,MAT2A,7,7
3114,MYB,MAT2A,7,7
3115,HIF1A,MAT2A,7,7
3116,SP1,MAT2A,7,7
3117,MIR222,MAT2A,17,7
3118,MIR21,MAT2A,11,7
3119,MIR149,MATR3,21,15
3120,MIR92A2,MAVS,10,21
3121,MIR149,MAVS,21,21
3122,MAX,MAX,7,7
3123,MIR222,MAZ,17,13
3124,MYC,MAZ,7,13
3125,SP1,MAZ,7,13
3126,MIR29B2,MAZ,13,13
3127,MIR29A,MAZ,13,13
3128,MIR149,MAZ,21,13
3129,MIR30D,MAZ,2,13
3130,MMP1,MAZ,7,13
3131,MAZ,MAZ,13,13
3132,MIR34A,MAZ,8,13
3133,MIR181A1,MAZ,5,13
3134,MIR193B,MAZ,3,13
3135,MIR92A2,MBD2,10,17
3136,MIR182,MBD4,5,5
3137,MIR146A,MBD4,19,5
3138,MIR149,MBD6,21,21
3139,MIR101-2,MBNL1,19,18
3140,MIR101-2,MBNL2,19,19
3141,RELA,MBP,7,7
3142,MIR205,MBTPS2,14,14
3143,CREB1,MCAM,7,7
3144,MIR9-3,MCC,9,9
3145,BCL2L11,MCL1,7,7
3146,MIR101-2,MCL1,19,7
3147,MIR31,MCM2,4,8
3148,MIR222,MCM3,17,8
3149,MIR92A2,MCM3,10,8
3150,MIR31,MCM4,4,4
3151,MYC,MCM7,7,8
3152,MIR92A2,MCM7,10,8
3153,MIR31,MCMBP,4,8
3154,MIR34A,MCMBP,8,8
3155,E2F1,MCPH1,7,7
3156,TP53,MCTS1,7,7
3157,MIR92A2,MDM2,10,7
3158,ATM,MDM2,7,7
3159,MIR29A,MDM2,13,7
3160,TP53,MDM2,7,7
3161,TP53,MDM2,7,7
3162,MIR3916,MDM2,20,7
3163,MIR29B2,MDM2,13,7
3164,MDM2,MDM2,7,7
3165,NFATC2,MDM2,7,7
3166,MIR205,MDM2,14,7
3167,AKT1,MDM2,14,7
3168,PAX3,MDM2,7,7
3169,MDM4,MDM4,9,9
3170,MIR92A2,MDN1,10,19
3171,MIR222,MDN1,17,19
3172,MIR146A,MDN1,19,19
3173,SP1,ME2,7,7
3174,MIR92A2,ME2,10,7
3175,TFAP2A,ME2,7,7
3176,MIR181A1,MECP2,5,16
3177,MIR199A2,MECP2,16,16
3178,MIR155,MECP2,1,16
3179,MIR92A2,MECP2,10,16
3180,MIR205,MED1,14,14
3181,MIRLET7B,MED14,20,20
3182,MIR214,MED16,6,10
3183,MIR149,MED16,21,10
3184,MIR92A2,MED19,10,10
3185,MIR25,MED19,10,10
3186,MIR149,MED22,21,21
3187,MIR214,MED23,6,6
3188,MIRLET7B,MED28,20,2
3189,MIR214,MED28,6,2
3190,MIR149,MED28,21,2
3191,MIR199A2,MED6,16,16
3192,MIR92A2,MED7,10,10
3193,MIR25,MED7,10,10
3194,MIR92A2,MEF2C,10,11
3195,MIR92A2,MEN1,10,10
3196,MIR9-3,MESDC1,9,9
3197,MIR222,MESDC2,17,17
3198,SMAD4,MET,7,7
3199,SMAD2,MET,7,7
3200,YBX1,MET,7,7
3201,MIR101-2,MET,19,7
3202,MITF,MET,7,7
3203,MIR31,MET,4,7
3204,HIF1A,MET,7,7
3205,MIR34A,METAP1,8,5
3206,MIR193B,METTL13,3,3
3207,MIR149,METTL14,21,21
3208,MIR92A2,METTL16,10,3
3209,MIR25,MFF,10,10
3210,MIR92A2,MFF,10,10
3211,MIR92A2,MFN1,10,10
3212,MIR92A2,MFN2,10,8
3213,TP53,MFN2,7,8
3214,MIR92A2,MFSD1,10,10
3215,MIRLET7B,MFSD3,20,20
3216,MIR101-2,MFSD6,19,19
3217,MIR149,MGAT5B,21,21
3218,MIR205,MGLL,14,14
3219,RELA,MGMT,7,17
3220,MIR222,MGMT,17,17
3221,SP1,MGMT,7,17
3222,MIR92A2,MIA3,10,2
3223,MIR149,MICAL1,21,21
3224,MIR3916,MID1,20,15
3225,MIR149,MID1,21,15
3226,MIR92A2,MID1IP1,10,10
3227,NR3C1,MIF,7,7
3228,HIF1A,MIF,7,7
3229,SP1,MIF,7,7
3230,CREB1,MIF,7,7
3231,ATF1,MIF,7,7
3232,MIR222,MINK1,17,21
3233,MIR92A2,MINK1,10,21
3234,MIR149,MINK1,21,21
3235,MIR149,MINOS1,21,21
3236,OTUD4,MIR101-2,13,19
3237,PPP1R15B,MIR101-2,2,19
3238,RAB5A,MIR101-2,19,19
3239,ALG14,MIR101-2,10,19
3240,COX10,MIR101-2,16,19
3241,RAC1,MIR101-2,14,19
3242,SLC38A2,MIR101-2,16,19
3243,BCL2L11,MIR101-2,7,19
3244,FNIP1,MIR137,10,10
3245,CDC42,MIR137,14,10
3246,RREB1,MIR137,19,10
3247,ZFP62,MIR137,10,10
3248,FUT11,MIR137,10,10
3249,ZNF24,MIR137,10,10
3250,CSE1L,MIR137,8,10
3251,EOGT,MIR137,9,10
3252,E2F6,MIR137,7,10
3253,SSFA2,MIR137,10,10
3254,JAG1,MIR137,6,10
3255,EZH2,MIR137,19,10
3256,GOLGA3,MIR137,10,10
3257,PTGS2,MIR137,7,10
3258,UBE2Z,MIR137,10,10
3259,SLC39A14,MIR137,10,10
3260,TRIM13,MIR137,21,10
3261,MRPS21,MIR137,10,10
3262,CTBP1,MIR137,5,10
3263,AURKA,MIR137,7,10
3264,KDM1A,MIR137,1,10
3265,BNIP3L,MIR137,2,10
3266,PAFAH1B2,MIR137,17,10
3267,H3F3B,MIR137,7,10
3268,PPP1R37,MIR137,10,10
3269,USP28,MIR137,10,10
3270,SNRK,MIR137,11,10
3271,NFYB,MIR137,7,10
3272,HNRNPDL,MIR137,18,10
3273,ZC3H11A,MIR137,19,10
3274,FKBP1A,MIR137,10,10
3275,CCDC59,MIR137,16,10
3276,MET,MIR137,7,10
3277,YBX1,MIR137,7,10
3278,VMA21,MIR137,10,10
3279,SNRPE,MIR137,10,10
3280,GRAMD4,MIR137,10,10
3281,TMA16,MIR137,10,10
3282,SLC35E2B,MIR137,10,10
3283,GPBP1L1,MIR137,10,10
3284,MTDH,MIR137,7,10
3285,PXN,MIR137,10,10
3286,KIT,MIR137,7,10
3287,AKT2,MIR137,13,10
3288,ZNF267,MIR137,10,10
3289,COQ7,MIR137,3,10
3290,UBXN4,MIR137,10,10
3291,GIGYF1,MIR137,10,10
3292,MITF,MIR137,7,10
3293,LHFPL2,MIR137,10,10
3294,CTPS2,MIR137,10,10
3295,SPCS3,MIR137,10,10
3296,COX20,MIR137,10,10
3297,9-Mar,MIR137,10,10
3298,AP5Z1,MIR137,10,10
3299,DR1,MIR137,1,10
3300,TMEM41A,MIR137,10,10
3301,SERPINA3,MIR137,7,10
3302,SREK1IP1,MIR137,10,10
3303,NCOA3,MIR137,6,10
3304,DDI2,MIR137,10,10
3305,ATOX1,MIR137,10,10
3306,PCMTD1,MIR137,10,10
3307,FUNDC1,MIR137,10,10
3308,RPL9,MIR137,10,10
3309,NCOA2,MIR137,7,10
3310,MNT,MIR146A,21,19
3311,SQSTM1,MIR146A,19,19
3312,GPM6B,MIR146A,19,19
3313,MFSD6,MIR146A,19,19
3314,UHRF1,MIR146A,8,19
3315,FADD,MIR146A,19,19
3316,BTN2A2,MIR146A,19,19
3317,SIKE1,MIR146A,16,19
3318,HLCS,MIR146A,19,19
3319,MICAL2,MIR146A,19,19
3320,ELAVL1,MIR146A,9,19
3321,MTA2,MIR146A,8,19
3322,IFI44,MIR146A,19,19
3323,HIST1H1C,MIR146A,19,19
3324,KIF22,MIR146A,19,19
3325,BCL2A1,MIR146A,7,19
3326,PAGR1,MIR146A,9,19
3327,DGCR6L,MIR146A,19,19
3328,PMAIP1,MIR146A,7,19
3329,SMAD4,MIR146A,7,19
3330,EEF2,MIR146A,9,19
3331,NACC1,MIR146A,19,19
3332,PTGS2,MIR146A,7,19
3333,IRAK1,MIR146A,11,19
3334,RAB8A,MIR146A,19,19
3335,P2RX7,MIR146A,9,19
3336,TMEM101,MIR146A,17,19
3337,SH3TC2,MIR146A,2,19
3338,ISG15,MIR146A,7,19
3339,RNF125,MIR146A,19,19
3340,SLFN5,MIR146A,2,19
3341,ELP2,MIR146A,19,19
3342,RAC1,MIR146A,14,19
3343,RAB34,MIR148A,9,16
3344,AP5B1,MIR148A,16,16
3345,CHCHD3,MIR148A,16,16
3346,UBE2D3,MIR148A,7,16
3347,USP4,MIR148A,16,16
3348,DYNLL2,MIR148A,16,16
3349,KIAA0391,MIR148A,4,16
3350,MRPS27,MIR148A,15,16
3351,SLC2A3,MIR148A,16,16
3352,DNMT1,MIR148A,13,16
3353,PTPN23,MIR148A,16,16
3354,MPP5,MIR148A,16,16
3355,CALR,MIR148A,18,16
3356,CDKN1B,MIR148A,7,16
3357,APPBP2,MIR148A,16,16
3358,KIAA0907,MIR148A,16,16
3359,SHOX2,MIR148A,16,16
3360,IRS1,MIR148A,16,16
3361,MYC,MIR148A,7,16
3362,UQCRQ,MIR148A,16,16
3363,BAZ2B,MIR148A,10,16
3364,CDADC1,MIR148A,16,16
3365,UNKL,MIR148A,16,16
3366,ITGB8,MIR148A,7,16
3367,HLA-C,MIR148A,16,16
3368,SRSF2,MIR148A,17,16
3369,CBX3,MIR148A,4,16
3370,DROSHA,MIR148A,16,16
3371,DSTYK,MIR148A,2,16
3372,MET,MIR148A,7,16
3373,RAB1B,MIR148A,16,16
3374,SH3GLB1,MIR148A,13,16
3375,YWHAB,MIR148A,16,16
3376,TMSB4X,MIR148A,14,16
3377,ASB6,MIR148A,9,16
3378,TNRC6A,MIR148A,16,16
3379,SH3PXD2A,MIR148A,16,16
3380,SLC30A7,MIR148A,16,16
3381,DDX6,MIR148A,13,16
3382,VPS37A,MIR148A,14,16
3383,TMED7,MIR148A,17,16
3384,SLC25A3,MIR148A,20,16
3385,DICER1,MIR148A,17,16
3386,PPP6R1,MIR148A,16,16
3387,MSL3,MIR148A,16,16
3388,POFUT1,MIR148A,16,16
3389,CDKN2AIPNL,MIR148A,16,16
3390,FAM104A,MIR148A,16,16
3391,PLA2G12A,MIR148A,16,16
3392,STX16,MIR148A,19,16
3393,ATP5G3,MIR148A,19,16
3394,VPS41,MIR148A,16,16
3395,BCL2L11,MIR148A,7,16
3396,NDRG1,MIR148A,7,16
3397,SIKE1,MIR148A,16,16
3398,CDC25B,MIR148A,16,16
3399,AKAP17A,MIR148A,16,16
3400,RAB14,MIR148A,16,16
3401,DNAJB4,MIR148A,7,16
3402,SRD5A1,MIR148A,16,16
3403,HSPA4,MIR148A,7,16
3404,GPATCH8,MIR148A,19,16
3405,SYNRG,MIR148A,16,16
3406,WDTC1,MIR148A,16,16
3407,RPS6KA4,MIR148A,16,16
3408,RAB12,MIR148A,16,16
3409,STK17A,MIR148A,13,16
3410,ITGA5,MIR148A,7,16
3411,PATL1,MIR148A,16,16
3412,SLC38A2,MIR148A,16,16
3413,JARID2,MIR148A,4,16
3414,ZFYVE26,MIR148A,4,16
3415,RFT1,MIR148A,16,16
3416,SNAPIN,MIR148A,16,16
3417,EOGT,MIR148A,9,16
3418,MLEC,MIR148A,16,16
3419,BTBD3,MIR148A,16,16
3420,VPS37B,MIR148A,16,16
3421,HCCS,MIR148A,16,16
3422,SMAD2,MIR148A,7,16
3423,SECISBP2L,MIR148A,16,16
3424,DENR,MIR148A,16,16
3425,MITF,MIR148A,7,16
3426,KPNA4,MIR148A,16,16
3427,AURKB,MIR148A,16,16
3428,PPP1CB,MIR148A,18,16
3429,RBMXL1,MIR148A,16,16
3430,CDCA4,MIR148A,16,16
3431,RAB10,MIR148A,16,16
3432,ADARB1,MIR148A,16,16
3433,B4GALT7,MIR148A,16,16
3434,PBXIP1,MIR148A,16,16
3435,PSMD9,MIR148A,16,16
3436,RASSF8,MIR148A,9,16
3437,TXNIP,MIR148A,4,16
3438,MRPL45,MIR148A,15,16
3439,GALK2,MIR148A,16,16
3440,RBM38,MIR148A,4,16
3441,PTPN4,MIR148A,16,16
3442,OTUD4,MIR148A,13,16
3443,KHSRP,MIR148A,16,16
3444,CCDC43,MIR148A,16,16
3445,RPS17,MIR148A,16,16
3446,TMEM14A,MIR148A,16,16
3447,SLC7A5,MIR149,14,21
3448,NAT10,MIR149,21,21
3449,CNTROB,MIR149,21,21
3450,RNF24,MIR149,21,21
3451,ATL3,MIR149,21,21
3452,CRCP,MIR149,15,21
3453,KLHL21,MIR149,6,21
3454,UQCRQ,MIR149,16,21
3455,NGRN,MIR149,19,21
3456,PLEKHO1,MIR149,20,21
3457,CTDNEP1,MIR149,21,21
3458,OSBPL10,MIR149,17,21
