Colo800_vitro_vehicle_rep1	Colo800_vitro_vehicle_rep2	Colo800_vitro_vem_48h_rep1	Colo800_vitro_vem_48h_rep2
1/2-SBSRNA4	3.01562098991224	5.07636789659767	5.06296226498574	12.4629151990832
A1BG	107.557148640203	148.229942580652	202.51849059943	221.456416229863
A1BG-AS1	100.520699663741	107.618999407871	173.153309462512	165.852640726261
A1CF	1.00520699663741	0	0	0
A2LD1	43.2239008554088	42.6414903314204	52.6548075558517	71.9014338408647
A2M	1096.68083333142	977.708456884711	290.614034010182	236.795388782581
A2ML1	0	2.03054715863907	4.0503698119886	0
A2MP1	2.01041399327483	0	0	0.958685784544863
A4GALT	1.00520699663741	1.01527357931953	0	1.91737156908973
A4GNT	3.01562098991224	1.01527357931953	4.0503698119886	1.91737156908973
AA06	0	0	0	0
AAA1	0	0	0	0
AAAS	538.790950197654	628.454345598792	524.522890652523	558.913812389655
AACS	468.426460433035	444.689827741956	578.190290661372	556.996440820565
AACSP1	5.02603498318707	1.01527357931953	3.03777735899145	0.958685784544863
AADAC	1.00520699663741	0	0	0.958685784544863
AADACL2	0	0	0	0
AADACL3	0	1.01527357931953	0	0
AADACL4	0	0	0	0
AADAT	110.572769630116	86.2982542421604	93.1585056757377	96.8272642390311
AAGAB	1622.40409257279	1542.20056698637	1754.82272104406	1780.27950189981
AAK1	1610.34160861314	1527.9867368759	1356.87388701618	1356.54038513098
AAMP	1936.02867552366	1923.94343281052	1822.66641539487	1899.15653918337
AANAT	12.062483959649	3.0458207379586	1.01259245299715	2.87605735363459
AARS	3841.9011411482	3629.60304606733	5086.25189140468	5057.06751347415
AARS2	889.608192024112	910.700400649622	521.485113293532	503.310036886053
AARSD1	710.681346622652	644.698722867904	551.862886883446	543.574839836937
AASDH	206.06743431067	193.917253650031	282.513294386205	245.423560843485
AASDHPPT	939.868541855982	887.349108325273	706.78953219201	713.262223701378
AASS	408.11404063479	389.865054458701	814.124332209708	766.94862763589
AATF	1824.45069889691	1795.00368823694	1935.06417767755	1924.08236958154
AATK	139.723772532601	136.046659628818	626.794728405235	556.03775503602
AATK-AS1	1.00520699663741	3.0458207379586	2.0251849059943	0.958685784544863
ABAT	243.260093186254	222.344913870978	895.13172844948	841.72611883039
ABCA1	1.00520699663741	0	0	0
ABCA10	41.213486862134	27.4123866416274	82.019988692769	95.8685784544863
ABCA11P	63.3280407881571	76.1455184489651	54.679992461846	65.1906333490507
ABCA12	2.01041399327483	5.07636789659767	0	1.91737156908973
ABCA13	17.088518942836	17.2596508484321	5.06296226498574	4.79342892272431
ABCA17P	4.02082798654966	1.01527357931953	1.01259245299715	4.79342892272431
ABCA2	927.806057896333	915.77676854622	1957.34121164349	1940.3800279188
ABCA3	30.1562098991224	24.3665659036688	105.309615111703	120.794408852653
ABCA4	2.01041399327483	1.01527357931953	3.03777735899145	1.91737156908973
ABCA5	926.800850899696	1007.15139068498	1188.78353981865	1291.34975178193
ABCA6	18.0937259394735	26.3971130623079	13.1637018889629	10.5455436299935
ABCA7	219.135125266956	224.375461029617	543.762147259469	482.218949626066
ABCA8	6.03124197982449	9.13746221387581	6.07555471798289	5.75211470726918
ABCA9	27.1405889092102	26.3971130623079	36.4533283078974	29.7192593208907
ABCB1	52.2707638251455	58.885867600533	36.4533283078974	34.5126882436151
ABCB10	585.030472042975	506.621516080448	507.308818951572	498.516607963329
