UACC62_vitro_vehicle_rep1	UACC62_vitro_vehicle_rep2	UACC62_vitro_vem_48h_rep1	UACC62_vitro_vem_48h_rep2
ACTR10	1102.45154464872	1165.14005398624	1764.11129828149	1606.51370066735
ACTR1A	882.515695842021	926.956556224449	1485.62189732039	1389.71427713202
ACTR1B	665.352147650529	615.56514356618	668.788672940048	611.434318910707
ACTR2	5830.14819378776	5834.98014646736	4342.98526777632	4922.44589750499
ACTR3	3593.82569751793	3613.99636214315	2829.41090270147	2975.24738842498
ACTR3B	165.413936707562	155.695706329134	102.492381766354	89.9168116045157
ACTR3BP2	0	0	0	0
ACTR3BP5	0	0	0	0
ACTR3C	0	0	1.03527658349853	0
ACTR5	151.552433631509	151.571316757502	149.079828023788	142.867822882731
ACTR6	588.651830629704	588.756611350568	620.130673515617	575.467594268901
ACTR8	449.112699664107	482.553579881026	566.296291173694	642.40566513004
ACTRT1	0	0	0	0
ACTRT2	0	0	0	0
ACVR1	924.100205070179	829.002303898173	753.681352786927	802.257774649179
ACVR1B	386.273885719335	387.692619733474	370.629016892473	439.593301177632
ACVR1C	158.021135067001	156.726803722043	160.467870442272	180.832698893526
ACVR2A	119.208926454053	122.700589756073	184.279231862738	161.850260888128
ACVR2B	174.654938758264	152.60241415041	136.656509021806	188.825304369483
ACVRL1	8.31690184563161	11.3420713219899	12.4233190019823	10.9898325294408
ACY1	5.54460123042107	9.27987653617357	0	3.99630273797848
ACY3	2.77230061521054	2.06219478581635	2.07055316699705	0
ACYP1	170.034437732913	154.664608936226	133.55067927131	86.9195845510319
ACYP2	65.6111145599827	69.0835253248477	121.127360269328	106.901098240924
ADA	560.928824477599	542.3572286697	362.346804224484	356.670019364579
ADAD1	0	0	0	0
ADAD2	0.924100205070179	0	0	0.999075684494619
ADAL	278.154161726124	263.960932584493	301.265485798071	332.692202936708
ADAM1	34.1917075875966	34.0262139659698	50.7285525914278	41.961178748774
ADAM10	2922.00484843191	2919.03671932304	2300.38456853373	2893.32318229642
ADAM11	194.061043064738	201.063991617094	233.972507870667	220.795726273311
ADAM12	2189.19338581125	2090.03441542487	258.819145874632	365.661700525031
ADAM15	4786.83906226353	4541.98401576051	2309.70205778521	2097.05986175421
ADAM17	919.479704044828	960.982770190419	934.85475489917	1245.84737856479
ADAM18	0	0	0	0
ADAM19	612.678435961529	636.187091424344	267.10135854262	326.69774882974
ADAM2	0	0	0	0
ADAM20	1.84820041014036	1.03109739290818	1.03527658349853	2.99722705348386
ADAM21	5.54460123042107	11.3420713219899	5.17638291749263	10.9898325294408
ADAM21P1	0	0	0	0
ADAM22	165.413936707562	155.695706329134	173.926466027752	202.812363952408
ADAM23	1702.19257773927	1617.79180947293	2025.00099732312	2288.88239317717
ADAM28	2.77230061521054	3.09329217872453	0	0
ADAM29	0	0	0	0
ADAM30	0	0	0	0
ADAM32	3.69640082028072	1.03109739290818	9.31748925148674	2.99722705348386
ADAM33	0	0	0	0
ADAM3A	0	0	1.03527658349853	0
ADAM5P	0	0	0	0
ADAM6	0	0	0	0
ADAM7	0	0	0	0
ADAM8	8.31690184563161	3.09329217872453	25.8819145874632	25.9759677968601
ADAM9	4248.08864270761	4186.25541520719	4219.78735433999	4718.63445786809
ADAMDEC1	0	0	0	0.999075684494619
ADAMTS1	1687.40697445815	1666.25338693961	199.808380615216	198.816061214429
ADAMTS10	1.84820041014036	3.09329217872453	10.3527658349853	3.99630273797848
ADAMTS12	0	1.03109739290818	0	0
ADAMTS13	159.869335477141	161.882290686583	287.80689021259	240.777239963203
ADAMTS14	7.39280164056143	8.2487791432654	65.2224247604072	51.9519355937202
ADAMTS15	52.6737116890002	54.6481618241333	239.14889078816	321.702370407267
ADAMTS16	0.924100205070179	1.03109739290818	5.17638291749263	3.99630273797848
ADAMTS17	296.636165827527	301.080438729187	126.30374318682	162.849336572623
ADAMTS18	0	0	1.03527658349853	0
ADAMTS19	8.31690184563161	13.4042661078063	1.03527658349853	1.99815136898924
ADAMTS2	3.69640082028072	6.18658435744905	4.14110633399411	3.99630273797848
ADAMTS20	3.69640082028072	2.06219478581635	2.07055316699705	0.999075684494619
ADAMTS3	11.0892024608421	8.2487791432654	7.24693608448969	9.99075684494619
ADAMTS4	4.62050102535089	10.3109739290818	7.24693608448969	11.9889082139354
ADAMTS5	0	0	0	0
ADAMTS6	9.24100205070179	8.2487791432654	7.24693608448969	5.99445410696772
ADAMTS7	73.9280164056143	60.8347461815823	130.444849520814	134.875217406774
ADAMTS8	9.24100205070179	12.3731687148981	19.670255086472	9.99075684494619
ADAMTS9	1105.22384526393	1130.08274262736	160.467870442272	223.792953326795
ADAMTS9-AS2	0	0	1.03527658349853	0.999075684494619
ADAMTSL1	7.39280164056143	4.1243895716327	49.6932760079293	62.941768123161
ADAMTSL2	0	2.06219478581635	0	0
ADAMTSL3	4.62050102535089	8.2487791432654	7.24693608448969	3.99630273797848
ADAMTSL4	111.816124813492	103.109739290818	213.266976200696	236.780937225225
ADAMTSL5	155.24883445179	149.509121971685	211.196423033699	246.771694070171
ADAP1	219.011748601632	236.121302975972	327.147400385534	269.750434813547
ADAP2	5.54460123042107	6.18658435744905	23.8113614204661	18.9824380053978
ADAR	4503.14029930698	4458.46512693495	3767.37148735114	4695.65571712471
ADARB1	161.717535887281	129.91827150643	214.302252784195	313.70976493131
ADARB2	0.924100205070179	0	0	0
ADARB2-AS1	0	0	0	0
ADAT1	367.791881617931	338.199944873881	241.219443955157	338.686657043676
ADAT2	158.021135067001	185.597530723472	40.3757867564425	28.973194850344
ADAT3	79.4726176360354	59.8036487886742	67.2929779274042	52.9510112782148
ADC	97.954621737439	108.265226255358	211.196423033699	163.848412257118
ADCK1	92.4100205070179	102.078641897909	170.820636277257	151.859504043182
ADCK2	495.317709917616	477.398092916485	454.486420155853	401.628425166837
ADCK3	729.115061800371	733.110246357712	673.965055857541	655.39364902847
ADCK4	633.008640473073	581.538929600211	500.038589829788	492.544312455847
ADCK5	148.780133016299	130.949368899338	323.00629405154	265.754132075569
ADCY1	1980.34673946539	2023.01308488584	929.678371981677	1301.79561689649
ADCY10	0	0	2.07055316699705	0
ADCY2	0.924100205070179	0	0	1.99815136898924
ADCY3	1836.18710747445	1756.98995751553	850.997351635789	856.207861611889
ADCY4	0	1.03109739290818	0	0
ADCY5	7.39280164056143	9.27987653617357	18.6349785029735	18.9824380053978
ADCY6	1109.84434628928	1131.11384002027	1249.57883628272	1421.68469903584
ADCY7	262.444458239931	247.463374297962	44.5168930904366	62.941768123161
ADCY8	2.77230061521054	4.1243895716327	0	0
ADCY9	799.346677385705	783.634018610213	647.047864686579	977.096019435738
ADCYAP1	0	1.03109739290818	3.10582975049558	4.9953784224731
ADCYAP1R1	5.54460123042107	7.21768175035723	1.03527658349853	3.99630273797848
ADD1	1992.36004213131	1909.59237166594	2958.82047563879	3185.05328216885
ADD2	155.24883445179	134.042661078063	62.1165950099116	70.934373599118
ADD3	1365.82010309372	1470.34488228706	6903.22425876817	7758.82176578521
ADGB	0	1.03109739290818	0	0
ADH1A	0	0	1.03527658349853	0
ADH1B	0	0	0	0
ADH1C	0	0	0	0
ADH4	0	0	0	0
ADH5	1232.74967356362	1215.66382623874	1451.45777006493	1221.86956213692
ADH6	0.924100205070179	0	3.10582975049558	4.9953784224731
ADH7	0	0	0	0
ADHFE1	7.39280164056143	13.4042661078063	67.2929779274042	75.9297520215911
ADI1	1038.68863049888	1041.40836683726	2214.45661210335	1726.4027828067
ADIG	0.924100205070179	0	0	0
ADIPOQ	0.924100205070179	2.06219478581635	0	0
ADIPOR1	2173.48368232506	2189.01976514406	2075.72954991455	1870.26968137393
ADIPOR2	2269.59010365236	2176.64659642916	1801.38125528744	1951.19481181799
ADK	293.863865212317	277.365198692299	438.957271403375	319.704219038278
ADM	187.592341629246	178.379848973114	161.50314702577	111.896476663397
ADM2	30.4953067673159	37.1195061446943	37.269957005947	33.9685732728171
ADNP	2147.6088765831	2108.59416849722	2000.15435931915	2551.63929819926
ADNP2	433.402996177914	408.314567591637	339.570719387517	399.630273797848
ADO	620.99533780716	630.000507066895	908.972840311706	962.109884168318
ADORA1	28.6471063571755	20.6219478581635	0	1.99815136898924
ADORA2A	8.31690184563161	10.3109739290818	9.31748925148674	10.9898325294408
ADORA2B	835.386585383442	810.442550825826	251.572209790142	252.766148177139
ADORA3	0.924100205070179	0	2.07055316699705	4.9953784224731
ADPGK	1143.11195367181	1231.13028713236	1256.82577236721	1185.90283749511
ADPRH	159.869335477141	146.415829792961	168.75008311026	154.856731096666
ADPRHL1	5.54460123042107	3.09329217872453	5.17638291749263	1.99815136898924
ADPRHL2	361.32318018244	329.951165730616	314.724081383552	258.760602284106
ADRA1A	0	0	0	0
ADRA1B	1.84820041014036	1.03109739290818	5.17638291749263	0.999075684494619
ADRA1D	0	1.03109739290818	0	0
ADRA2A	9.24100205070179	9.27987653617357	3.10582975049558	0
ADRA2B	1.84820041014036	4.1243895716327	5.17638291749263	2.99722705348386
ADRA2C	130.298128914895	106.203031469542	171.855912860755	113.894628032387
ADRB1	8.31690184563161	3.09329217872453	2.07055316699705	0.999075684494619
ADRB2	5.54460123042107	4.1243895716327	4.14110633399411	9.99075684494619
ADRB3	0	0	0	0
ADRBK1	702.316155853336	710.426103713733	742.293310368444	654.394573343976
ADRBK2	296.636165827527	284.582880442656	458.627526489847	470.564647396966
ADRM1	1748.39758799278	1714.7149644063	1793.09904261945	1502.60982947991
ADSL	1719.7504816356	1812.66921673257	1227.83802802925	1145.93981011533
ADSS	1549.71604390269	1634.28936775946	1103.60483800943	1075.00543651621
ADSSL1	137.690930555457	149.509121971685	942.101690983659	778.279958221308
ADTRP	2.77230061521054	5.15548696454088	3.10582975049558	0.999075684494619
AEBP1	2.77230061521054	3.09329217872453	4.14110633399411	1.99815136898924
AEBP2	551.687822426897	566.072468706588	421.3575694839	468.566496027976
AEN	975.849816554109	1020.78641897909	1118.09871017841	1098.98325294408
AES	2395.2677315419	2360.18193236681	4067.60169656571	3460.79817108936
AFAP1	842.779387024003	781.571823824397	288.842166796089	332.692202936708
AFAP1-AS1	94.2582209171583	75.2701096822968	16.5644253359764	28.973194850344
AFAP1L1	942.582209171583	953.765088440062	829.25654338232	818.242985601093
AFAP1L2	1190.24106413039	1189.88639141603	307.477145299062	311.711613562321
AFF1	278.154161726124	328.920068337708	221.549188868685	384.644138530428
AFF2	0.924100205070179	0	2.07055316699705	3.99630273797848
AFF3	201.453844705299	210.343868153268	134.585955854808	205.809591005892
AFF4	2663.25679101226	2617.95628059386	1818.98095720691	2891.32503092743
AFG3L1P	103.49922296786	100.016447112093	110.774594434342	87.9186602355265
AFG3L2	1570.9703486193	1519.83755714665	1737.19410711053	1638.48412257118
AFM	0	0	0	0
AFMID	272.609560495703	279.427393478115	237.078337621163	190.823455738472
AFP	0	0	0	0.999075684494619
AFTPH	503.634611763248	552.668202598782	456.55697332285	499.53784224731
AGA	328.055572799914	337.168847480973	256.748592707635	218.797574904322
AGAP1	758.686268362617	818.691329969091	917.255052979695	1220.87048645242
AGAP11	4.62050102535089	2.06219478581635	4.14110633399411	3.99630273797848
AGAP2	145.083732196018	135.073758470971	268.136635126118	231.785558802752
AGAP3	1521.06893754551	1490.96683014522	1564.30291766627	1412.69301787539
AGAP4	2.77230061521054	10.3109739290818	9.31748925148674	3.99630273797848
AGAP5	5.54460123042107	5.15548696454088	12.4233190019823	7.99260547595695
AGAP6	48.0532106636493	39.1817009305107	53.8343823419234	33.9685732728171
AGAP7	1.84820041014036	2.06219478581635	0	0
AGAP8	2.77230061521054	0	2.07055316699705	1.99815136898924
AGAP9	0	1.03109739290818	0	3.99630273797848
AGBL1	0	0	0	0.999075684494619
AGBL2	8.31690184563161	6.18658435744905	13.4585955854808	10.9898325294408
AGBL3	17.5579038963334	22.6841426439799	17.599701919475	17.9833623209031
AGBL4	0	1.03109739290818	1.03527658349853	0
AGBL5	1692.95157568857	1674.50216608288	1775.49934069997	1452.65604525518
AGER	25.874805741965	48.4615774666842	46.5874462574337	46.9565571712471
AGFG1	1838.95940808966	1827.10458023329	1380.02368580354	1536.57840275272
AGFG2	303.104867263019	258.805445619952	319.900464301045	297.724553979397
AGGF1	733.735562825722	674.337694961946	717.446672364479	725.328946943094
AGK	1446.21682093483	1344.55100035226	926.572542231181	871.193996879308
AGL	336.372474645545	330.982263123524	360.276251057487	440.592376862127
AGMAT	2.77230061521054	1.03109739290818	4.14110633399411	1.99815136898924
AGMO	2599.49387686241	2657.13798152437	91.1043393478703	67.9371465456341
AGPAT1	1425.88661642329	1284.74735156359	2153.37529367694	1897.24472485528
AGPAT2	435.251196588054	466.056021594495	865.491223804768	727.327098312083
AGPAT3	1014.66202516706	951.702893654246	980.406924573105	1132.9518262169
AGPAT4	64.6870143549125	71.1457201106641	97.3159988488615	92.9140386579996
