A375_vivo_vehicle_rep1	A375_vivo_vehicle_rep2	A375_vivo_vehicle_rep3	A375_vivo_vehicle_rep4	A375_vivo_vem_rep1	A375_vivo_vem_rep2	A375_vivo_vem_rep3	A375_vivo_vem_rep4
1/2-SBSRNA4	12.8278060745438	10.9609993968446	8.65177477068712	14.5550695005694	28.2597417809231	19.289783165991	16.4824329825493	18.6552374342402
A1BG	280.608257880647	358.581265982487	364.392396224234	321.667035962584	537.944370329716	515.747886753864	503.891522609364	446.439130322851
A1BG-AS1	137.898915301346	134.663706875519	161.33015307693	167.383299256548	134.233773459385	144.165747872143	128.719952816099	121.580685347289
A1CF	0	0	0.508927927687478	0	0	0	0.784877761073775	0.643284049456558
A2LD1	102.622448596351	142.49299215898	112.98199994662	120.807076854726	234.152146184792	166.50128627487	183.661396091263	174.329977402727
A2M	246.935266934969	175.375990349513	180.160486401367	244.525167609566	183.688321576	211.172363080322	296.683793685887	113.861276753811
A2ML1	1.60347575931798	0	0	0	0	4.06100698231389	4.70926656644265	2.57313619782623
A2MP1	0	0	0	0	0	0	1.56975552214755	0
A4GALT	347.954239772002	275.590841977807	300.267477335612	381.342820914919	83.7699488505936	105.586181540161	138.138485948984	81.0537902315263
A4GNT	3.20695151863596	1.56585705669208	4.5803513491873	1.45550695005694	5.04638246087913	15.2287761836771	7.84877761073775	5.78955644510902
AA06	0	0	0	0	0	0	0	0
AAA1	1.60347575931798	0	0	0	1.00927649217583	0	0	0
AAAS	484.24967931403	499.508401084775	502.31186462754	624.412481574429	868.987059763387	839.613193593397	882.987481207997	876.152875359832
AACS	367.195948883817	399.293549456481	367.445963790359	404.63093211583	423.896126713847	418.283719178331	467.78714559997	403.982383058718
AACSP1	102.622448596351	89.2538522314487	97.2052341883082	133.906639405239	184.697598068176	185.791069440861	141.27799699328	192.341930787511
AADAC	0	0	0	0	0	0	0	0
AADACL2	0	0	0	0	0	0	0	0
AADACL3	0	0	0	0	0	0	0	0
AADACL4	0	0	0	0	0	0	0	0
AADAT	447.369736849716	369.542265379332	407.65127007767	395.897890415489	353.246772261539	363.460124917093	284.125749508707	281.115129612516
AAGAB	1324.47097719665	1349.76878286858	1334.40902639657	1331.7888593021	925.506543325233	767.530319657326	861.795781659005	807.32148206798
AAK1	354.368142809274	377.371550662792	392.892360174733	384.253834815033	344.163283831957	298.484013200071	293.544282641592	294.624094651103
AAMP	1457.55946522004	1371.69078166226	1216.33774717307	1558.84794351099	1443.26538381143	1446.73373744932	1367.25705979052	1447.38911127725
