"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A1BG|1",726.046032279922,0.725015085315158,0.308427115192594,2.35068529841298,0.0187388748771013,0.0511806389553495
"A2M|2",98031.8680990376,0.733051880056815,0.457043616406817,1.60389917666922,0.108736278346736,0.2029023249713
"NAT1|9",186.976172686958,-0.63778953102675,0.279462841753939,-2.2821979731685,0.0224776547146621,0.0592967816544113
"NAT2|10",0.820493663992715,1.87101866249258,1.10991335113757,1.68573399047316,0.0918470468684423,0.17805105144325
"SERPINA3|12",19050.948736491,1.01276368195791,0.839238194956209,1.20676547855494,0.227522474250322,0.354204122700971
"AADAC|13",5.77745763960757,4.68202531333853,1.40483242113865,3.33279987199017,0.000859767622643894,0.00428370135929969
"AAMP|14",7149.25693636601,0.38019130352814,0.15453654885096,2.46020314517835,0.0138858392734311,0.0401133812863882
"AANAT|15",2.34463154791531,1.97199533949087,0.704601362957651,2.79873903623061,0.0051302581326387,0.0181447987598325
"AARS|16",12168.6877055463,-0.0390272531961262,0.229678070081799,-0.169921547939804,0.8650718347449,0.913227913924386
"ABAT|18",367.653348036723,0.0038250418228218,0.450196506042753,0.00849638273838259,0.993220948952081,0.995331191761469
"ABCA1|19",2284.93876181403,0.161738040060811,0.339843050478488,0.475919810139089,0.634131508328286,0.742269525172114
"ABCA2|20",4469.52806101009,1.58209838708387,0.332882977910451,4.75271639605876,2.00701777601721e-06,2.90016433541529e-05
"ABCA3|21",2141.78614238326,0.690636517539319,0.463742121699492,1.48926846456888,0.136416688411712,0.24100893040083
"ABCB7|22",937.697668039497,0.323040821049345,0.174998179701179,1.84596675005967,0.0648970334413905,0.135902250157863
"ABCF1|23",8003.34803247533,0.21480329807852,0.186556563339677,1.15141110145459,0.249563148846355,0.379084568375615
"ABCA4|24",20.4642425460838,2.20643611836007,0.661486548503835,3.33557216446901,0.000851240571892391,0.00425042625406095
"ABL1|25",7193.91516863699,0.449811291445002,0.231678940895776,1.9415286072434,0.0521941929796689,0.114640260281912
"ABP1|26",30.8902726219519,-1.56214696282117,0.59710319351586,-2.6162093584242,0.00889120227541094,0.0281498801273775
"ABL2|27",6811.22767370249,1.09508747662182,0.270904352127719,4.04233991820678,5.29204406872181e-05,0.000441283547797542
"ABO|28",5.72092792568762,1.20828936794747,0.609449699495396,1.98259080109136,0.0474131557298895,0.106283816676982
"ABR|29",13878.8943219749,0.589206347869957,0.274182111689415,2.14895984365819,0.0316375832879974,0.0774003650196452
"ACAA1|30",2842.41465752434,-0.381076987293001,0.190331492929006,-2.00217515992029,0.0452658962652366,0.102419455382909
"ACACA|31",3410.31067785271,0.655554187163217,0.188262318110353,3.48213170720098,0.000497438962599729,0.0027486902123827
"ACACB|32",1042.94463246332,1.19648930069778,0.326031440656992,3.66985864395995,0.000242684631524876,0.00152830667473471
"ACADL|33",5.94247984669275,2.17617476956575,0.942765228062105,2.30828917400674,0.0209830581741394,0.0560696332238951
"ACADM|34",2191.79931649592,-0.522579395080918,0.224220744464312,-2.33064695387315,0.0197719834451089,0.0534546789348587
"ACADS|35",1502.4664178377,0.341958808845232,0.338237714013997,1.01100141905252,0.312015750607988,0.448085700088526
"ACADSB|36",1024.00970415906,0.423089305948219,0.273186589750164,1.54871916053839,0.121449245814804,0.220169397532602
"ACADVL|37",10647.0770457044,0.287912125472984,0.219844297315056,1.30961834802738,0.190324978257922,0.310347307424384
"ACAT1|38",2453.04614022203,-0.403578219410767,0.21084915568411,-1.91406134922067,0.0556123173537282,0.120493354266411
"ACAT2|39",1181.65195665708,0.909779245848975,0.309707891157848,2.93753976512433,0.00330827741828907,0.0127687291459143
"ACCN1|40",7.97483753437076,2.07570949064932,1.01728043568515,2.0404496320145,0.0413055628386124,0.0951315673489764
"ACCN2|41",272.915823763216,3.01406708501376,0.491546697345124,6.13180212845073,8.68891331454621e-10,3.94648297335994e-08
"ACHE|43",172.553317186517,-1.06054795753954,0.506099499061831,-2.09553251782605,0.0361236809179887,0.0856970738311068
"ACLY|47",12378.9760714729,0.472300123477356,0.168393067396556,2.80474802662223,0.00503559282720499,0.0178890942557814
"ACO1|48",2184.9649612095,0.0348251928967996,0.251973987438149,0.13820947650538,0.890074865807664,0.929276755578182
"ACR|49",8.31897907009052,1.83292630345396,0.654146224070869,2.8020131218481,0.00507848079689167,0.018013624037567
"ACO2|50",12613.9658320546,0.921470329100929,0.266693356870721,3.45516791236615,0.000549950208731171,0.00298073958622477
"ACOX1|51",2634.04757745091,0.183333019446227,0.166339471156699,1.10216185113105,0.270391313756673,0.402642938278474
"ACP1|52",3259.73865394229,0.10188449390469,0.152611333946689,0.667607649247601,0.504384073695456,0.632758987630629
"ACP2|53",3422.98232933835,-0.502331926202212,0.205174054619801,-2.44832090067656,0.0143523764297941,0.041206799504614
"ACP5|54",12334.6578377426,-0.0816537590998077,0.397188383095094,-0.205579424210547,0.837119451318705,0.89538389969808
"ACPP|55",212.51535120024,2.61798836971133,0.793075053585649,3.30106004201605,0.000963202674691383,0.00467866733587219
"ACRV1|56",8.9637030541377,1.27192564573726,0.468928076530878,2.71241094188036,0.00667957275320741,0.0225037986804488
"ACTA1|58",17.4612185043127,1.33327171816072,0.543177814542038,2.45457690366979,0.0141050490910447,0.0406362377493762
"ACTA2|59",6341.79787077997,0.203504654707624,0.356420548045214,0.570967795834848,0.568021473017304,0.6890046156382
"ACTB|60",307611.041970421,-0.547613756346894,0.208376974312924,-2.62799552662921,0.00858896451868181,0.027400971613103
"ACTC1|70",24.2404194619931,4.62161691802652,0.900416799174043,5.1327528787401,2.85534705304362e-07,5.56399460177304e-06
"ACTG1|71",255080.228179478,0.102826668581816,0.219603942013874,0.468236897930183,0.639615188386149,0.746508558490148
"ACTG2|72",614.284077589601,1.20909762677148,0.546648812971421,2.21183618820863,0.0269779856688655,0.068341285125681
"ACTN4|81",37193.640559221,0.870721763640013,0.208720602668612,4.1717097043001,3.02322644510879e-05,0.00027681558216912
"ACTL6A|86",2668.09259138923,0.387686203011572,0.176992011641981,2.19041638893727,0.0284940525046033,0.0712098687983153
"ACTN1|87",18589.0634889548,0.684976441088263,0.300380563370378,2.28036206271998,0.0225862236991138,0.0595234362385671
"ACTN2|88",90.7995339210623,5.30889122756441,0.748866903768552,7.08923201285604,1.34858273215502e-12,1.40153555694868e-10
"ACTN3|89",3.27838552041768,1.96708308861293,0.583701801752761,3.3700137342494,0.000751644372688455,0.00384266713923292
"ACVR1|90",2325.12461234949,0.643022234292419,0.211750006125324,3.03670467859088,0.00239179663176141,0.00980764579608808
"ACVR1B|91",1728.50017255541,0.643235530942143,0.192524106376239,3.3410648829872,0.000834577171768742,0.00418539996583588
"ACVR2A|92",616.415356903624,0.522554078281293,0.239473414868575,2.18209640752011,0.0291024182949087,0.0724311980158092
"ACVR2B|93",1211.77969692043,0.953589694563875,0.299403458064714,3.18496553355694,0.00144771249535806,0.00656574737478097
"ACVRL1|94",1083.8082812551,-0.424292900451343,0.328173724691891,-1.29289113822166,0.196048712886146,0.317352139722342
"ACY1|95",2917.87259245459,0.32730298956809,0.26196090315294,1.24943449815869,0.211506197140325,0.336154872679824
"ACYP1|97",401.777393227797,-0.650056662729627,0.265252996135306,-2.45070431701376,0.0142577019959649,0.0409925645851476
"ACYP2|98",217.386077112694,-0.10015080922394,0.243877621841286,-0.410660102668697,0.681321785991604,0.779510647211382
"ADA|100",822.358369101004,-0.764170127055883,0.299780999700445,-2.54909459845513,0.0108002999495111,0.0329972068931811
"ADAM8|101",884.002434502927,-0.782443040871876,0.489972322211942,-1.59691273445732,0.110285160772854,0.204939441601844
"ADAM10|102",4857.90311609953,0.368573213916668,0.25424593388844,1.44967200961567,0.147150004740703,0.255425500132484
"ADAR|103",23053.9187129516,-0.01731412643079,0.178570143009814,-0.0969598060401305,0.92275831413305,0.952639981393953
"ADARB1|104",2626.06766182375,0.285777618316916,0.283964438321223,1.00638523614581,0.314230292809745,0.450457156813845
"ADARB2|105",23.8230287142327,0.624373097242475,0.831558220790632,0.750847122464656,0.452744666288841,0.58682541521066
"ADCY1|107",3258.46008552657,-0.522990690677954,0.549142307001706,-0.952377341919733,0.340905646321964,0.477060430893307
"ADCY2|108",784.744537757407,6.9992540096175,0.904688573941179,7.73664464349981,1.02074841830197e-14,2.08908636462602e-12
"ADCY3|109",2853.55817647612,0.491299180586117,0.265083999147418,1.85337169412816,0.0638291015587964,0.13404912925837
"ADCY5|111",59.0303127702243,-0.64071459298283,0.740178505410367,-0.865621722732421,0.38669763907278,0.522993542501722
"ADCY6|112",3782.22973227039,1.21999392613528,0.285990959125482,4.26584787807924,1.99144442575804e-05,0.000195791663344838
"ADCY7|113",1342.32264537563,-0.68705139216852,0.33156442435025,-2.07215051347834,0.0382514067687713,0.0896666937549585
"ADCY8|114",19.1274038096536,2.50723766662598,1.3139562237149,1.90815920757037,0.0563706421649086,0.121677770784264
"ADCY9|115",2582.62493641325,0.710632943490632,0.25421713331232,2.79537784975955,0.00518390876198804,0.0183063931036226
